""	"Mean BirA.x"	"Mean FLNc.x"	"cluster"	"id"	"ÿþBirA_1"	"BirA_2"	"BirA_3"	"FLNc_1"	"FLNc_2"	"FLNc_3"	"Mean BirA.y"	"Mean FLNc.y"	"Number of proteins"	"Peptides"	"Unique peptides"	"Sequence coverage [%]"	"Unique sequence coverage [%]"	"Mol. weight [kDa]"	"Q-value"	"Score"	"Intensity"	"Mean"	"BirA_11"	"BirA_12"	"BirA_13"	"BirA_21"	"BirA_22"	"BirA_23"	"BirA_31"	"BirA_32"	"BirA_33"	"FLNc_11"	"FLNc_12"	"FLNc_13"	"FLNc_21"	"FLNc_22"	"FLNc_23"	"FLNc_31"	"FLNc_32"	"FLNc_33"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
"11"	0.7553257	0.5910389	1	"1081"	1.209162	0.8499263	0.206889	0.7716249	0.7284142	0.2730775	0.7553257	0.5910389	17	140	138	26.1	25.7	870.52	0	323.31	238300000	0.673182291	0.796262026	1.842646718	0.988576829	0.811011672	0.80385983	0.934907317	0.283482134	0.243658036	0.093526766	0.613019764	0.727160871	0.974694133	0.739809275	0.681289852	0.764143407	0.178458944	0.172544554	0.468229115	"S4R1P5;Q91ZU6;Q91ZU6-4;E9Q9X1;Q91ZU6-3;Q91ZU6-2;A0A087WSP0;A0A087WPR7;A0A087WRB8;Q91ZU6-5;S4R1Y6;Q91ZU6-6;S4R2C6;S4R2A8;Q91ZU6-8;A0A0A6YX28;A0A0A6YXR1"	"S4R1P5;Q91ZU6;Q91ZU6-4;E9Q9X1;Q91ZU6-3;Q91ZU6-2;A0A087WSP0"	"Dystonin"	"Dst"
"12"	0.5196168	0.6246236	1	"767"	0.6722141	0.7165509	0.1700856	0.6019288	0.6644655	0.6074765	0.5196168	0.6246236	3	13	11	29	25	58.878	0	123.47	36539000	0.626239333	0.715903103	0.586778522	0.713960707	0.5657534	0.820943296	0.762956023	NA	0.170085624	NA	NA	0.815166652	0.388691008	0.716517806	0.485266328	0.791612387	NA	0.607476473	NA	"Q6NZD2;Q9WV80;D3YWH1"	"Q6NZD2;Q9WV80"	"Sorting nexin-1"	"Snx1"
"13"	0.4404953	0.619261	1	"38"	0.4597643	0.4013904	0.4603311	0.4672386	0.5013638	0.8891806	0.4404953	0.619261	12	19	3	29.4	6.2	82.104	0	64.174	163660000	0.511768401	0.493444115	0.453440666	0.432408035	0.408019394	0.390139908	0.406011909	0.456396401	NA	0.464265913	0.491914928	0.441675484	0.468125284	0.540290952	0.496427208	0.467373013	0.907255471	NA	0.871105731	"A0A0G2JGQ6;Q9JLM8;A0A0G2JGR9;A0A0G2JGH1;Q1EDH1;H7BX36;A0A0G2JE54;Q8CCN4;A0A0G2JEN4;Q9CXL6;Q6PGI2;O88809"	"A0A0G2JGQ6;Q9JLM8"	"Serine/threonine-protein kinase DCLK1"	"Dclk1"
"14"	0.4542637	0.6245776	1	"877"	0.5515838	0.5976642	0.213543	0.5021209	0.3974192	0.9741927	0.4542637	0.6245776	6	48	48	30.8	30.8	243.16	0	156.68	93518000	0.554471245	0.414639145	0.644615829	0.595496237	NA	0.651074409	0.544254124	0.224662527	0.21290639	0.203060091	0.40834558	0.239027441	0.858989477	NA	NA	0.397419155	0.897434652	1.058729649	0.966413975	"Q8K4L3;Q8K4L2;E9Q3Z5;E9Q983;F6R6A4;F6TBK9"	"Q8K4L3;Q8K4L2;E9Q3Z5;E9Q983"	"Supervillin"	"Svil"
"15"	0.5357212	0.8440942	1	"1061"	0.7632365	0.7170012	0.1269261	0.8813636	0.8726565	0.7782626	0.5357212	0.8440942	5	28	28	31.1	31.1	130.06	0	88.518	67295000	0.719571908	0.579474926	0.872261167	0.837973297	0.573556185	0.763779759	0.813667715	0.04348015	0.210372046	NA	0.421062946	0.995334804	1.227692962	0.998915613	0.771189153	0.847864628	0.983409762	0.573115408	NA	"Q9Z1A9;A0A0A6YWY1;A0A0A6YVT5;A0A0A6YXU3;A3KGB4"	"Q9Z1A9;A0A0A6YWY1"	"TBC1 domain family member 8"	"Tbc1d8"
"16"	0.8024375	1.189314	1	"98"	1.167373	1.139053	0.1008873	1.096091	1.473158	0.9986952	0.8024375	1.189314	1	11	11	31.5	31.5	41.008	0	98.56	87183000	1.123328793	1.184322238	1.188816071	1.128980517	1.167169571	1.103085041	1.1469028	0.100887254	NA	NA	0.929814279	1.087565422	1.270891905	1.488745093	1.278428435	1.652299285	0.998695195	NA	NA	"A2AMM0"	"A2AMM0"	"Muscle-related coiled-coil protein"	"Murc"
"17"	0.6377459	1.010359	1	"263"	0.857589	0.9304002	0.1252486	0.9781428	1.242577	0.8103569	0.6377459	1.010359	17	46	44	34.4	33.3	175.46	0	201.23	280190000	0.824052487	0.827097714	0.866659403	0.879009843	1.01397419	0.889749765	0.887476623	0.172310963	0.110118113	0.093316585	0.989106655	0.890016675	1.055305123	1.273028374	1.212964773	1.241739273	1.03762567	0.729998529	0.663446486	"E9PVC5;E9Q9E1;Q6NZJ6;E9PVC6;Q6NZJ6-2;A0A0J9YUS5;E9Q770;A0A0J9YUC1;A0A0J9YVC1;A0A0J9YUL1;D3YWM1;D3Z439;A0A0J9YU44;A0A0J9YTV0;D3YWY7;D6RCH1;D3YWC6"	"E9PVC5;E9Q9E1;Q6NZJ6;E9PVC6;Q6NZJ6-2;A0A0J9YUS5"	"Eukaryotic translation initiation factor 4 gamma 1"	"Eif4g1"
"18"	0.2734972	0.7301103	1	"813"	0.2222857	0.3492052	0.2490007	0.512731	0.6655951	1.012005	0.2734972	0.7301103	5	7	7	34.7	34.7	39.834	0	36.14	20526000	0.518590726	0.247015297	NA	0.197556213	0.305673778	0.314309716	0.427632123	0.251005173	0.257198423	0.238798574	0.448806256	NA	0.576655805	0.680539966	0.734828293	0.581417024	1.068371415	1.03992939	0.927714169	"Q8BFW7-5;Q8BFW7;Q8BFW7-4;Q8BFW7-3;Q8BFW7-2"	"Q8BFW7-5;Q8BFW7;Q8BFW7-4"	"Lipoma-preferred partner homolog"	"Lpp"
"19"	0.4762803	0.7790841	1	"282"	0.6089194	0.6326678	0.1872539	0.5999682	0.5511433	1.186141	0.4762803	0.7790841	2	186	85	35.2	14.8	828.65	0	323.31	382350000	0.62768225	0.605574369	0.580126345	0.641057491	0.70546174	0.599610209	0.59293139	0.207041621	0.189742893	0.164977089	0.361231297	0.649500012	0.789173365	0.519978702	0.492508471	0.640942812	0.844321847	1.398634315	1.315466523	"E9Q1W3;A2AQA9"	"E9Q1W3;A2AQA9"	""	"Neb"
"20"	0.4842372	0.9783306	1	"706"	0.7244594	0.5309582	0.1972941	0.4890343	0.7942759	1.651682	0.4842372	0.9783306	2	20	20	36.3	36.3	75.656	0	52.041	89607000	0.707133421	0.751594722	0.726678312	0.695105016	0.453410089	0.59334147	0.546122968	0.196866751	0.197721511	NA	0.734427571	0.6680668	0.064608626	0.983593524	0.621638477	0.777595699	1.638599038	1.664764166	NA	"Q5F2E7;Q5F2E7-2"	"Q5F2E7;Q5F2E7-2"	"Nuclear fragile X mental retardation-interacting protein 2"	"Nufip2"
"21"	0.3739725	0.676904	1	"123"	0.3606776	0.4478282	0.3134117	0.5059304	0.7076405	0.8171409	0.3739725	0.676904	3	14	14	36.8	36.8	53.912	0	33.088	103450000	0.525438221	0.274111629	0.420780629	0.387140572	0.414655864	0.463624269	0.465204358	0.325966984	0.275771886	0.338496357	0.458420753	0.559689283	0.499681175	0.736695409	0.643400609	0.742825568	0.975036383	0.957319915	0.519066334	"A2RS22;Q9WUM3;D3YUG6"	"A2RS22;Q9WUM3"	"Coronin;Coronin-1B"	"Coro1b"
"22"	0.7008396	0.918574	1	"529"	0.9177915	0.9083443	0.2763831	0.7942557	1.027303	0.934163	0.7008396	0.918574	2	14	14	37.1	37.1	48.968	0	38.626	52998000	0.835261071	0.88973856	0.930113256	0.933522701	0.889116704	0.907228589	0.928687632	NA	0.268741727	0.284024447	1.025787711	0.843027055	0.513952255	1.055053592	0.97621274	1.050644159	NA	0.76843828	1.099887729	"Q3TQR3;P59325"	"Q3TQR3;P59325"	"Eukaryotic translation initiation factor 5"	"Eif5"
"23"	0.5289606	0.5843891	1	"749"	0.7389477	0.6124112	0.2355228	0.6519628	0.8299564	0.271248	0.5289606	0.5843891	8	23	3	37.7	3.1	82.86	0	64.95	66669000	0.540599431	0.620552421	0.840720713	0.755569994	0.681232214	0.646207631	0.509793758	0.206906781	0.248169512	0.251492202	0.273835361	0.64750874	1.034544349	NA	0.821310759	0.838602066	0.157366082	0.522104979	0.134272769	"Q62417-2;Q62417-7;Q62417;E9QNA7;Q62417-5;Q62417-6;Q62417-4;E9Q6A3"	"Q62417-2;Q62417-7;Q62417;E9QNA7;Q62417-5;Q62417-6;Q62417-4;E9Q6A3"	"Sorbin and SH3 domain-containing protein 1"	"Sorbs1"
"24"	0.7424278	0.9738998	1	"616"	0.9129835	0.8837976	0.4305024	0.7931056	0.7198293	1.408765	0.7424278	0.9738998	3	41	41	38.1	38.1	137.91	0	109.15	1.3e+08	0.850480116	0.836463332	0.880058646	1.022428393	1.040364981	0.789848506	0.82117933	0.455316991	0.405687809	NA	0.714555264	0.694713175	0.970048368	1.009288311	0.204314604	0.945885062	1.288740873	1.528788209	NA	"Q059P4;Q9CS72;G3UZB6"	"Q059P4;Q9CS72"	"Filamin-A-interacting protein 1"	"Filip1"
"25"	0.7501336	1.090799	1	"816"	0.9457166	1.087622	0.2170626	0.4595847	1.134313	1.6785	0.7501336	1.090799	2	18	18	38.3	38.3	68.839	0	67.768	84245000	0.912662118	0.881629944	1.021354675	0.934165001	1.081563354	1.060168862	1.121132851	0.217062593	NA	NA	-0.138239518	0.787625968	0.729367733	1.768326521	0.88150382	0.753107667	1.678500175	NA	NA	"Q8BGD9;REV__Q8BGD9"	"Q8BGD9"	"Eukaryotic translation initiation factor 4B"	"Eif4b"
"26"	1.285577	1.091053	1	"229"	0.7020048	0.7174491	2.437279	0.7222492	0.9107451	1.640164	1.285577	1.091053	5	92	48	38.6	24.7	287.36	0	323.31	2.7984e+10	1.18831511	0.683038056	0.752517045	0.67045927	0.718551517	0.713297307	0.720498323	2.438858747	2.454311132	2.418665886	0.771805048	0.664502025	0.730440319	0.957976103	0.880348265	0.893911123	1.635966063	1.638818622	1.64570713	"D3YW87;D3Z576;Q8VHX6-2;Q8VHX6;Q80X90"	"D3YW87;D3Z576;Q8VHX6-2;Q8VHX6"	"Filamin-C"	"Flnc"
"27"	0.7533202	0.9903576	1	"110"	0.9638387	0.9949036	0.3012181	0.8012356	0.9555554	1.214282	0.7533202	0.9903576	17	1073	3	38.6	0.2	3906.4	0	323.31	5223400000	0.871838886	1.079615355	0.996901155	0.81499964	1.074450731	0.950608253	0.959651828	0.30524385	0.296599388	0.30181101	1.018856645	0.730066955	0.65478313	0.988387227	0.925476134	0.952803016	1.227886677	1.191255331	1.223703623	"A2ASS6;F7CR78;Q8BUJ6;F6ZZ75;A0A087WRP0;F6ZRX7;A2AT61;A2AT63;F6Q6Z0;REV__F7BWD7;REV__Q8BQ48-4;REV__Q8BQ48-6;REV__Q8BQ48-5;REV__Q8BQ48-3;REV__E9QPW4;REV__Q8BQ48-2;REV__Q8BQ48"	"A2ASS6"	"Titin"	"Ttn"
"28"	0.714454	1.250086	1	"1057"	0.9316059	0.9402164	0.2715396	0.9839576	1.211375	1.554925	0.714454	1.250086	8	26	5	38.7	7.9	104.56	0	127.54	127050000	1.001995055	0.91248244	0.889027059	0.993308365	0.832476974	0.983378172	1.004794121	NA	0.271539599	NA	0.97053504	0.800025523	1.181312323	1.130527735	1.155796289	1.347802043	NA	1.554925084	NA	"Q9WV92-2;Q9WV92-5;Q9WV92-3;Q9WV92;Q9WV92-6;Q9WV92-4;F7CR30;O70318"	"Q9WV92-2;Q9WV92-5;Q9WV92-3;Q9WV92;Q9WV92-6;Q9WV92-4"	"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed"	"Epb41l3"
"29"	0.4430978	0.7395698	1	"960"	0.7188289	0.6416837	-0.03121931	0.6629491	0.8042123	0.7515479	0.4430978	0.7395698	11	12	12	38.8	38.8	42.944	0	85.339	29883000	0.591333762	0.726050377	0.648759961	0.781676412	0.573219836	0.689300001	0.662531197	-0.033665825	-0.044523921	-0.015468192	0.810762465	0.498064816	0.680019975	0.860750794	0.733815372	0.81807071	0.720093131	0.561256468	0.973294139	"Q9CY58-2;Q9CY58;A0A0N4SV32;Q3UMP4;Q9CY58-3;A0A0N4SWH2;Q9CY58-4;A0A0N4SUQ1;A0A0N4SUN8;A0A0N4SV40;A0A0N4SVK5"	"Q9CY58-2;Q9CY58;A0A0N4SV32;Q3UMP4;Q9CY58-3;A0A0N4SWH2;Q9CY58-4"	"Plasminogen activator inhibitor 1 RNA-binding protein"	"Serbp1"
"30"	0.645295	0.8021687	1	"295"	0.97608	0.8980568	0.06174827	0.6516142	0.9481222	0.8067695	0.645295	0.8021687	6	106	106	39.2	39.2	392.7	0	323.31	335850000	0.72373183	0.906835854	1.009960532	1.011443615	0.806952834	0.89064455	0.996572971	0.066996425	0.17394343	-0.055695038	0.60842979	0.650644779	0.695768058	0.883392274	0.859397709	1.101576567	0.701360703	1.047469616	0.671478271	"E9Q6R7;A2A9Z1;A2A9Z2;P11531;B1AV35;Q05AA6"	"E9Q6R7"	""	"Utrn"
"31"	0.542125	0.8235636	1	"1"	0.7413884	0.6674502	0.2175366	0.5289365	0.9125735	1.029181	0.542125	0.8235636	6	5	5	43	43	24.196	0	10.497	20257000	0.676698155	0.740212619	0.710802555	0.773149908	0.734007299	0.637559772	0.630783677	NA	0.217536584	NA	0.430895388	0.626977623	NA	0.912573516	NA	NA	NA	1.029180765	NA	"A0A087WNP6;Q4VAA2-2;Q4VAA2;F8WGL9;A0A087WS49;A0A087WRM0"	"A0A087WNP6;Q4VAA2-2;Q4VAA2"	"Protein CDV3"	"Cdv3"
"32"	0.8747317	0.8900905	1	"403"	1.367144	1.316331	-0.05927936	1.164788	1.107648	0.3978358	0.8747317	0.8900905	1	9	9	43.7	43.7	34.299	0	66.323	190570000	1.086163299	1.183383703	1.519985437	1.398061633	1.16016829	1.314330816	1.474493027	NA	-0.059279364	NA	0.95542109	1.083840966	1.455101371	1.196174264	0.982215643	1.144553542	NA	0.397835761	NA	"O70209"	"O70209"	"PDZ and LIM domain protein 3"	"Pdlim3"
"33"	0.780958	1.021718	1	"842"	0.9755591	1.005758	0.3615574	0.83293	0.9315296	1.300695	0.780958	1.021718	2	25	25	44.1	44.1	90.244	0	266.89	135320000	0.910114581	0.853387892	0.994651437	1.078638077	0.917137742	0.947815895	1.152318954	0.392802417	0.330312282	NA	0.789146662	0.734498203	0.975145042	1.082967401	0.589205861	1.122415543	1.655321002	0.946068883	NA	"Q8BX02;Q8BX02-2"	"Q8BX02;Q8BX02-2"	"KN motif and ankyrin repeat domain-containing protein 2"	"Kank2"
"34"	0.7155751	0.9255111	1	"862"	0.96771	1.030646	0.1483691	0.8901514	0.920863	0.965519	0.7155751	0.9255111	2	36	36	45.4	45.4	103.41	0	217.94	205580000	0.853493025	0.963702857	0.906566679	1.032860398	1.022799373	0.990356624	1.078782916	0.103530049	0.193208113	NA	0.676871717	0.753944814	1.239637852	0.81910032	0.910943151	1.032545686	0.696976364	1.23406148	NA	"Q8CGY6-2;Q8CGY6"	"Q8CGY6-2;Q8CGY6"	"Protein unc-45 homolog B"	"Unc45b"
"35"	0.6662244	0.9914428	1	"467"	0.8434051	0.861653	0.293615	0.9186974	1.132432	0.9231986	0.6662244	0.9914428	4	82	74	45.7	42.6	269.82	0	323.31	377470000	0.828833565	0.758025765	0.890342772	0.881846666	0.784831166	0.872983277	0.927144408	0.315109313	0.287622601	0.278113127	0.76593852	0.899629414	1.090524197	1.020838737	1.105412602	1.271045923	0.971062362	0.842215955	0.956317365	"P26039;A2AIM2;F6S1V7;F6SX70"	"P26039"	"Talin-1"	"Tln1"
"36"	0.8965098	1.25105	1	"928"	1.176004	1.273325	0.2401997	1.35245	1.419257	0.9814426	0.8965098	1.25105	1	3	3	46.3	46.3	8.941	0	26.175	21040000	1.127459884	1.104623675	1.305157781	1.118231654	NA	1.273325443	NA	0.240199685	NA	NA	1.214385509	1.490515232	NA	NA	1.419257402	NA	0.981442571	NA	NA	"Q99JI1"	"Q99JI1"	"Musculoskeletal embryonic nuclear protein 1"	"Mustn1"
"37"	0.4481747	0.7211781	1	"976"	0.7018451	0.6278645	0.01481446	0.7711293	0.7744302	0.6179748	0.4481747	0.7211781	1	25	25	46.5	46.5	75.673	0	116.2	105560000	0.661328335	0.664096415	0.767230093	0.67420876	0.557230413	0.682506084	0.643857181	0.014814464	NA	NA	0.765837193	0.774845839	0.77270478	0.746928692	0.811915636	0.764446318	0.617974818	NA	NA	"Q9D0I9"	"Q9D0I9"	"Arginine--tRNA ligase, cytoplasmic"	"Rars"
"38"	0.4252729	0.9989249	1	"488"	0.6334243	0.6392941	0.003100342	0.9941922	1.10239	0.9001929	0.4252729	0.9989249	7	25	25	46.9	46.9	59.555	0	104.95	212550000	0.712098917	0.700591266	0.610670805	0.589010775	0.654696226	0.647236228	0.615950048	0.01940709	-0.038270496	0.028164431	1.05549264	0.98242414	0.944659889	1.07249105	1.145718217	1.088959694	0.828614771	1.012921572	0.859042168	"Q3UL22;P42932;H3BL49;H3BJB6;H3BLL1;H3BKG2;H3BKR8"	"Q3UL22;P42932;H3BL49"	"T-complex protein 1 subunit theta"	"Cct8"
"39"	0.4631234	0.712858	1	"445"	0.6239974	0.5825434	0.1828295	0.5738524	0.575368	0.9893537	0.4631234	0.712858	1	77	76	48.6	48.2	270.25	0	323.31	760680000	0.587990737	0.651994765	0.591098011	0.628899574	0.574575245	0.568483353	0.60457164	0.195235252	0.176698849	0.176554263	0.618650258	0.569344521	0.533562422	0.606688082	0.523719192	0.595696628	0.606306076	1.060660005	1.301095128	"P14873"	"P14873"	"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1"	"Map1b"
"40"	0.5198548	0.664295	1	"589"	0.4971401	0.5736973	0.4887269	0.3758532	0.5050221	1.11201	0.5198548	0.664295	1	16	16	48.9	48.9	52.641	0	105.99	115740000	0.592074878	0.47389552	0.519421041	0.498103678	0.503858745	0.588977218	0.628256083	0.487265676	0.495113999	0.483801186	0.324936926	0.396628231	0.405994385	0.502641797	0.458433241	0.553991258	1.075619936	1.163221002	1.097187877	"P70402"	"P70402"	"Myosin-binding protein H"	"Mybph"
"41"	0.7612155	1.208614	1	"1034"	0.9819658	0.9574331	0.3442475	1.064944	1.335842	1.225055	0.7612155	1.208614	7	24	24	50.3	50.3	67.07	0	117.89	733660000	0.984914652	0.94037205	1.006294847	0.999230623	0.918135226	0.92078054	1.033383489	0.352626234	0.326007992	0.354108423	0.921724498	1.02494061	1.2481668	1.425378442	1.094031572	1.488116622	1.187153935	1.375004888	1.113006949	"Q9JKS4-4;E9PYJ9;Q9JKS4-2;Q9JKS4-3;Q9JKS4;Q9JKS4-6;Q9JKS4-5"	"Q9JKS4-4;E9PYJ9;Q9JKS4-2;Q9JKS4-3;Q9JKS4;Q9JKS4-6"	"LIM domain-binding protein 3"	"Ldb3"
"42"	0.4767826	0.9745876	1	"265"	0.695164	0.5816662	0.1535177	0.7889732	0.7423124	1.392477	0.4767826	0.9745876	11	323	1	51.4	0.2	831.87	0	323.31	2314100000	0.725685108	0.633074403	0.757198572	0.695218921	0.638858497	0.513097703	0.593042254	0.161338061	0.140099317	0.159115821	0.829914391	0.740119517	0.79688549	0.871471465	0.605250716	0.750214875	0.492690563	0.420632243	3.264109135	"E9PVY8;B1ARU4;E9QA63;Q9QXZ0;A0A0A0MQA6;E9QNP1;Q9QXZ0-3;Q9QXZ0-2;Q9QXZ0-4;F6Q750;F6SHS0"	"E9PVY8;B1ARU4;E9QA63;Q9QXZ0;A0A0A0MQA6;E9QNP1;Q9QXZ0-3;Q9QXZ0-2;Q9QXZ0-4;F6Q750"	"Microtubule-actin cross-linking factor 1"	"Macf1"
